president,datetime,sentiment,tweet,genderpronoun
Obama,1/11/2012 0:00,-0.016666667,GOP former Sec. of State & retired four-star general Colin Powell on why he supports President Obama in this election:http://OFA.BO/v14JRJ ,he
Obama,4/11/2012 0:00,-0.388888889,"President Obama: ""Gov. Romney's been having a tough time here in Ohio because everyone knows he was against saving the auto industry.""",he
Obama,4/11/2012 0:00,-0.095833333,"Obama on Romney: “In this campaign, he ’s tried as hard as he can to repackage the se old ideas that didn't work and offer the m up as change.”",he
Obama,4/11/2012 0:00,0.266666667,"FACT: Romney has said it’s “fair” for him to pay a lower tax rate than a worker making $50,000, despite making nearly $14 million last year.",him
Obama,5/11/2012 0:00,-0.151060606,"Obama on Romney: ""he ’s tried as hard as he can to repackage the same old bad ideas and make the m out to be new ideas.”",he
Obama,6/11/2012 0:00,0,"If he can find the time to make calls today, so can you! http://OFA.BO/CeVKUS , http://instagram.com/p/Rsf92umuVJ/ ",he
Obama,6/11/2012 0:00,0.125,"Amanda, AK: “I am supporting President Obama as both a college student and a veteran because he has never given up on fighting for us.”",he
Obama,8/11/2012 0:00,0,The President made a surprise visit to campaign HQ yesterday to thank staff & volunteers. here's what he said.http://OFA.BO/Bu2y3i ,he
Obama,27/11/2012 0:00,0.25,From the archives: Sasha and her first mate.pic.twitter.com/ySwwx5Zp,her
Obama,3/12/2012 0:00,0.6,"I've asked Debbie Wasserman Schultz to continue her excellent work as chair of the DNC. Thanks for all you do, Debbie. -bo",her
Obama,22/12/2012 0:00,0,"The President on John Kerry, his nominee for Secretary of State: ""John’s entire life has prepared him for this role.""http://OFA.BO/UUMsS2 ",him
Obama,21/01/2013 0:00,0,"Thank you, God Bless you, and may he forever bless the se United States of America.",he
Obama,27/02/2013 0:00,-0.071428571,"“In a single moment, with the simplest of gestures, she he lped change America—and change the world.” —President Obama on Rosa Parks",she
Obama,12/03/2013 0:00,0,"Teach him how to Dougie, @FLOTUS.pic.twitter.com/w945nRrPZq",him
Obama,17/06/2013 0:00,0,"On this date in 1885, the Statue of Liberty arrived on our shores. Let's honor the opportunity sherepresents by passing #ImmigrationReform.",she
Obama,24/06/2013 0:00,0.1,"President Obama promised to take action on #climate change. Tomorrow, see how he is keeping his word.http://OFA.BO/2c8RWM ",he
Obama,13/07/2013 0:00,0,"Whe n politicians try to get in the way of a woman and her doctor, it's time to #StandWithWomen.http://OFA.BO/EV3afb ",her
Obama,4/08/2013 0:00,0.8,Today is President Obama's 52nd birthday. Sign his card and wish him a great one:http://OFA.BO/du4hRM ,him
Obama,6/08/2013 0:00,0.8,"""Miche lle says I don't look a day over 51."" —President Obama as the crowd in Phoenix sings him ""Happy Birthday""",him
Obama,8/08/2013 0:00,0.2,"Alejandro Morales is the highe st ranking cadet in Chicago JROTC. he wants to be a Marine, but for now he is a DREAMerhttp://OFA.BO/jhZ1Nu ",he
Obama,21/08/2013 0:00,0,Erica's mom was a hero. #WhatWillItTake for Congress to honor her memory by passing common-sense gun reform?pic.twitter.com/spMlzZSmnF,her
Obama,24/09/2013 0:00,-0.107142857,"""A mom should not have to go bankrupt if her son or daughter gets sick ... I think most Americans agree with that"" —President Obama #CGI2013",her
Obama,8/10/2013 0:00,0,It's time @SpeakerBoehner ended this shutdown. Tell him to #JustVote: http://OFA.BO/NqxoJn ,him
Obama,22/10/2013 0:00,0.35,"This woman saved money, thanks to @Obamacare, and the law he lped her family #GetCovered. Read more from Fox News:http://OFA.BO/8KZbt8 ",her
Obama,15/11/2013 0:00,0,#FollowFriday RT @SFWish: here he comes!!!! #SFBatkidpic.twitter.com/pMn3gRHcLo,he
Obama,21/11/2013 0:00,0,"In 2009, pre-Obamacare: This 17-year-old's insurance was rescinded after she was diagnosed with celiac disease. http://OFA.BO/6MJnwJ  #TBT",she
Obama,21/11/2013 0:00,-0.714285714,Pre-Obamacare #TBT: Whe n an insurance company canceled a teenager's policy after she got sick http://OFA.BO/RfRk6N pic.twitter.com/EsjyYtVGXv,she
Obama,10/12/2013 0:00,-0.3,President Obama traveled to South Africa to honor the late Nelson Mandela. Watch him speak at the memorial service: http://OFA.BO/dMjEk1 ,him
Obama,2/01/2014 0:00,0,"Now, Ray is covered. Used to be, he had to stretch his leukemia medicine in case he became uninsured. http://ofa.bo/hR  #TBT #ThisIsWhy",he
